kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat
10797460.01,CONFIRMED,0.9574271077562798,0.0010972404570444771,0.1302612464854733,0.008174959818939221,0.002,0.09463572647464809,0.0001780188794684512,0.9928153174801515
10797460.02,CONFIRMED,0.9622504486493745,0.0010659007905884572,0.1295618556701031,0.0060402794633778335,0.003,0.14342557861826055,0.0001083480853878252,0.9923065418404814
10848459.01,FALSE POSITIVE,0.0,0.0010781982915141555,0.161340206185567,0.019483714370059375,0.0,0.004539620541076288,0.004456855698226322,0.9870893327438052
10854555.01,CONFIRMED,0.0,0.0010975655011218083,0.1309746954076851,0.007844655098894612,0.733,0.06280571203602366,0.0002173545431120582,0.9922607893269767
10872983.01,CONFIRMED,0.9541738631894795,0.0011004908978177895,0.13214151827553888,0.00994358251057828,0.21039617358842694,0.05196559574713692,0.0004007820763315054,0.9925642553682308
10872983.02,CONFIRMED,0.955849896725086,0.0011231085481987547,0.13075445173383318,0.008692885492176994,0.21039617358842694,0.07190133456757664,0.00022035472084758754,0.9926269247774852
10872983.03,CONFIRMED,0.9549435053683999,0.0010684198821877741,0.12860449859418932,0.006950765900219767,0.21039617358842694,0.2938065378066034,4.35109109922187e-05,0.9921415636594321
6721123.01,FALSE POSITIVE,0.0,0.001182997919447035,0.12526241799437676,0.0292157312953062,0.0,0.05462431617943703,0.00032536094159111477,0.9921098444799016
10910878.01,CONFIRMED,0.9555330859058532,0.0010747582416957334,0.1363730084348641,0.014304457637681636,0.063,0.02091920417276936,0.0010858226592773733,0.992511582306465
10910878.02,CONFIRMED,0.9444002816030241,0.001095019322516047,0.13067830365510777,0.008430478564634107,0.12300000000000001,0.08448594461379716,0.00025644019194437113,0.9928395393990657
10910878.03,CONFIRMED,0.9548637106322496,0.0010985406333538022,0.13030693533270854,0.008820152852035294,0.23600000000000002,0.06837503167842073,0.00024043924402154793,0.992456986870182
11446443.01,CONFIRMED,0.0,0.0011705108094762268,0.5705248359887536,0.09856660215829699,0.0,0.0003947220313385336,0.05384394813856098,0.9416559334089467
10666592.01,CONFIRMED,0.0,0.001964620577402882,0.12792877225866917,0.007117787909600814,0.21039617358842694,0.00447618440444597,0.032125994864145746,0.9641092677675465
6922244.01,CONFIRMED,0.0,0.0011293927336938252,0.23741799437675726,0.07744284449109458,0.0,0.0011961629869136287,0.01432494030000494,0.980803168073204
10984090.02,CONFIRMED,0.9540568321137194,0.0011091587398799558,0.1310836457357076,0.008445238954308395,0.009000000000000001,0.06350537530768158,0.0002848585421614686,0.9925953978354063
10984090.01,CONFIRMED,0.9649012813539845,0.0011058812121001991,0.13539597000937206,0.010689802210778365,0.255,0.025481008703979017,0.0008199735766013006,0.9929506526461485
10464078.01,FALSE POSITIVE,0.0,0.002025837211966931,0.13919868791002812,0.020799029094368093,0.048,0.04947479450003471,0.0026150799216930276,0.9948038216805398
10480982.01,FALSE POSITIVE,0.9534625892455257,0.0011114611354277187,0.2340440487347704,0.07268671892937975,0.0,0.0010860826321727822,0.018058494815330353,0.9917157961514061
10480982.02,FALSE POSITIVE,0.9551590271382433,0.001072022454044862,0.12822223523898782,0.013251549840915802,0.0,0.2132053289116107,4.067740979755209e-05,0.9922858186431881
10485250.01,FALSE POSITIVE,0.0,0.0013538085820845999,0.1330798969072165,0.016643159379407618,0.0,0.03056522847802659,0.002097549262314215,0.9941344508737192
10526549.01,CONFIRMED,0.0,0.0010806902961070283,0.1326745548266167,0.009084527831534754,0.037000000000000005,0.026721744905719068,0.000536456780593777,0.9925965512601165
